Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R5","5.1k","R_0603_1608Metric",252.799850,-120.802400,-90.000000,bottom
"R6","27","R_0402_1005Metric",244.576600,-80.822800,180.000000,bottom
"R7","27","R_0402_1005Metric",244.576600,-79.781400,180.000000,bottom
"R12","1k","R_0402_1005Metric",237.058200,-99.415600,45.000000,bottom
"R13","-10k","R_0603_1608Metric",266.014200,-95.072200,180.000000,bottom
"R14","1k","R_0402_1005Metric",266.338050,-121.335800,-90.000000,bottom
"REF**","Clacktales_9mm_whiteSilk","Clacktales_9mm_whiteSilk",192.322450,-130.479800,180.000000,bottom
"SWD1","Conn_01x03_Female","PinHeader_1x03_P2.54mm_Vertical",233.756200,-100.965000,0.000000,bottom
"SWR1","SW_SPST","SW_SPST_TL3342",256.590800,-118.033800,90.000000,bottom
"SWR2","SW_SPST","SW_SPST_TL3342",262.731250,-118.033800,-90.000000,bottom
"U1","SRV05-4","SOT-23-6",242.480250,-73.975000,180.000000,bottom
"U2","XC6206PxxxMR","SOT-23",256.584450,-78.333600,-90.000000,bottom
"U3","RP2040TR7","RP2040-QFN-56",246.157750,-98.425000,135.000000,bottom
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",262.870950,-98.755200,180.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",239.114577,-102.572458,-45.000000,bottom
